PostalCode,Borough,Neighborhood,Latitude,Longitude
77118,Seine-et-Marne,Balloy,48.3970835013237,3.1555088328684504
77120,Seine-et-Marne,Coulommiers,48.8068016126431,3.08126677475375
77120,Seine-et-Marne,Mouroux,48.818987899999996,3.0471262
77122,Seine-et-Marne,Monthyon,49.0084002950748,2.8285824923073
77123,Seine-et-Marne,Noisy-sur-École,48.36251475897671,2.50083338722459
77124,Seine-et-Marne,Crégy-lès-Meaux,48.9779,2.87437
77124,Seine-et-Marne,Chauconin-Neufmontiers,48.9568936,2.8604242
77124,Seine-et-Marne,Penchard,48.9867533,2.8617917
77124,Seine-et-Marne,Villenoy,48.9537041,2.8677555
77126,Seine-et-Marne,Châtenay-sur-Seine,48.4221785467171,3.09096953430119
77126,Seine-et-Marne,Égligny,48.42759229999999,3.1201798
77127,Seine-et-Marne,Lieusaint,48.6292544311151,2.55517399638391
77130,Seine-et-Marne,Barbey,48.3649119,3.0558158
77130,Seine-et-Marne,Dormelles,48.3159943,2.8982343999999998
77130,Seine-et-Marne,Forges,48.4200386,2.9402258
77130,Seine-et-Marne,La Grande-Paroisse,48.3798247658416,2.90159926115722
77130,Seine-et-Marne,Marolles-sur-Seine,48.387437799999994,3.0329487
77130,Seine-et-Marne,Misy-sur-Yonne,48.35967,3.0891
77130,Seine-et-Marne,Montereau-Fault-Yonne,48.3966219,2.9578946
77130,Seine-et-Marne,La Tombe,48.38756,3.08915
77130,Seine-et-Marne,Varennes-sur-Seine,48.3766097,2.9301414
77131,Seine-et-Marne,Touquin,48.736073315904996,3.0068540648904105
77133,Seine-et-Marne,Féricy,48.45633039040089,2.8193452810255404
77134,Seine-et-Marne,Les Ormes-sur-Voulzie,48.46251019010239,3.2237971762122597
77135,Seine-et-Marne,Pontcarré,48.7995541691383,2.70473731547184
77138,Seine-et-Marne,Luzancy,48.9747257743895,3.1854227008703195
77139,Seine-et-Marne,Puisieux,49.0548448039495,2.91534203114381
77140,Seine-et-Marne,Darvault,48.270740999999994,2.7351363999999996
77140,Seine-et-Marne,Nemours,48.27081480018251,2.70871102366502
77140,Seine-et-Marne,Nonville,48.2822946,2.7966347999999996
77141,Seine-et-Marne,Vaudoy-en-Brie,48.69309276360471,3.0815467574561297
77144,Seine-et-Marne,Chalifert,48.8896421,2.7725465
77144,Seine-et-Marne,Montévrain,48.8643442595654,2.75804714155166
77145,Seine-et-Marne,May-en-Multien,49.066439725862104,3.03468881241145
77148,Seine-et-Marne,Salins,48.427211520887205,3.01451498551175
77150,Seine-et-Marne,Lésigny,48.74275972099711,2.6164594230934797
77151,Seine-et-Marne,Montceaux-lès-Provins,48.695493010038206,3.44033108368043
77154,Seine-et-Marne,Coutençon,48.4710717,2.9977386000000004
77154,Seine-et-Marne,Villeneuve-les-Bordes,48.4812217421231,3.01680371541779
77157,Seine-et-Marne,Everly,48.464940832047795,3.25542007964796
77160,Seine-et-Marne,Chenoise,48.6144506,3.1820627
77160,Seine-et-Marne,Cucharmoy,48.6144506,3.1820627
77160,Seine-et-Marne,Mortery,48.599115600000005,3.2604474999999997
77160,Seine-et-Marne,Poigny,48.540826700000004,3.2658614
77160,Seine-et-Marne,Provins,48.6144506,3.1820627
77160,Seine-et-Marne,Rouilly,48.558553700000004,3.2929188999999996
77160,Seine-et-Marne,Saint-Brice,48.5679822,3.3254721
77160,Seine-et-Marne,Saint-Hilliers,48.621582700000005,3.2567048
77163,Seine-et-Marne,Dammartin-sur-Tigeaux,48.8167695,2.9223782000000003
77163,Seine-et-Marne,Mortcerf,48.7988871912848,2.9109846481886805
77163,Seine-et-Marne,Tigeaux,48.8260028,2.9012773
77164,Seine-et-Marne,Ferrières-en-Brie,48.824997638975105,2.70554611505907
77165,Seine-et-Marne,Saint-Soupplets,49.0235754438206,2.7986687577693097
77166,Seine-et-Marne,Évry-Grégy-sur-Yerre,48.670963903107996,2.65996128162671
77167,Seine-et-Marne,Bagneaux-sur-Loing,48.2314677,2.7042711
77167,Seine-et-Marne,Châtenoy,48.2329542,2.626251
77167,Seine-et-Marne,Faÿ-lès-Nemours,48.228110823192,2.68023486820842
77167,Seine-et-Marne,Ormesson,48.24450170000001,2.6526867999999997
77167,Seine-et-Marne,Poligny,48.224132,2.7448859
77169,Seine-et-Marne,Boissy-le-Châtel,48.822986168284295,3.15842391030593
77169,Seine-et-Marne,Chauffry,48.8190373,3.1857769
77169,Seine-et-Marne,Saint-Germain-sous-Doue,48.85214129999999,3.1424526000000004
77169,Seine-et-Marne,Saint-Siméon,48.797498700000006,3.2036394
77170,Seine-et-Marne,Brie-Comte-Robert,48.7009235505348,2.60694985234671
77170,Seine-et-Marne,Coubert,48.6726066,2.6954543999999996
77170,Seine-et-Marne,Servon,48.715670700000004,2.5854077999999996
77171,Seine-et-Marne,Léchelle,48.5770413,3.3893218999999997
77171,Seine-et-Marne,Melz-sur-Seine,48.49836320000001,3.3870964999999997
77171,Seine-et-Marne,Sourdun,48.5391736838105,3.3961728649774
77173,Seine-et-Marne,Chevry-Cossigny,48.7292377969527,2.66634904334375
77174,Seine-et-Marne,Villeneuve-le-Comte,48.8134350846674,2.8167615244164197
77176,Seine-et-Marne,Nandy,48.588651500000005,2.5750237
77176,Seine-et-Marne,Savigny-le-Temple,48.5845453695185,2.58248906900541
77177,Seine-et-Marne,Brou-sur-Chantereine,48.882910329585705,2.62968231739022
77178,Seine-et-Marne,Oissery,49.0706669,2.8171929
77178,Seine-et-Marne,Saint-Pathus,49.0718506442863,2.80373069104792
77181,Seine-et-Marne,Courtry,48.9117889876052,2.6053850548477797
77181,Seine-et-Marne,Le Pin,48.9158565,2.5928085269984202
77183,Seine-et-Marne,Croissy-Beaubourg,48.8266955395165,2.65247799709371
77184,Seine-et-Marne,Émerainville,48.8154730942039,2.61336515397167
77185,Seine-et-Marne,Lognes,48.837298971786005,2.63520750904394
77186,Seine-et-Marne,Noisiel,48.84422315,2.62598426862815
77190,Seine-et-Marne,Dammarie-les-Lys,48.5148634867704,2.62405510273714
77200,Seine-et-Marne,Torcy,48.836879499999995,2.65719442821208
77210,Seine-et-Marne,Avon,48.40873185,2.73538024369837
77210,Seine-et-Marne,Samoreau,48.4255477,2.7560769
77220,Seine-et-Marne,Favières,48.807044899999994,2.72889847024331
77220,Seine-et-Marne,Gretz-Armainvilliers,48.742895000000004,2.7422105018587404
77220,Seine-et-Marne,Tournan-en-Brie,48.7351532905677,2.7594846812279505
77230,Seine-et-Marne,Dammartin-en-Goële,49.06197645,2.70156750790637
77230,Seine-et-Marne,Juilly,49.0189882675148,2.70228866455641
77230,Seine-et-Marne,Longperrier,49.052265999999996,2.6602525000000004
77230,Seine-et-Marne,Marchémoret,49.0504362,2.7712838
77230,Seine-et-Marne,Nantouillet,49.00226970000001,2.7026687000000003
77230,Seine-et-Marne,Rouvres,49.0619406,2.7166105
77230,Seine-et-Marne,Saint-Mard,49.037071600000004,2.694435
77230,Seine-et-Marne,Thieux,49.0108441,2.6695982000000003
77230,Seine-et-Marne,Villeneuve-sous-Dammartin,49.034806200000006,2.6395769000000002
77230,Seine-et-Marne,Vinantes,49.0095626,2.7348287
77240,Seine-et-Marne,Cesson,48.563409899999996,2.6142133
77240,Seine-et-Marne,Vert-Saint-Denis,48.5631655735917,2.6150289303299
77250,Seine-et-Marne,Écuelles,48.358672399999996,2.82569266071979
77250,Seine-et-Marne,Moret-sur-Loing,48.37150895,2.8179281879311002
77260,Seine-et-Marne,Chamigny,48.9737096,3.151646
77260,Seine-et-Marne,La Ferté-sous-Jouarre,48.9478746284601,3.1228756917124105
77260,Seine-et-Marne,Reuil-en-Brie,48.96046,3.1461200000000002
77260,Seine-et-Marne,Sainte-Aulde,48.9937,3.17218
77260,Seine-et-Marne,Sammeron,48.9485088,3.0744912
77260,Seine-et-Marne,Sept-Sorts,48.9375797,3.1028192999999997
77260,Seine-et-Marne,Ussy-sur-Marne,48.9550995,3.0708208
77270,Seine-et-Marne,Villeparisis,48.9409457848749,2.61417743560434
77280,Seine-et-Marne,Othis,49.0783088299996,2.66491203949633
77290,Seine-et-Marne,Compans,48.993699400000004,2.6623623
77290,Seine-et-Marne,Mitry-Mory,48.9789763425766,2.6318027566849
77300,Seine-et-Marne,Fontainebleau,48.39848195,2.7222468422963
77310,Seine-et-Marne,Pringy,48.521567,2.5587478
77320,Seine-et-Marne,Cerneux,48.696314,3.3466440000000004
77320,Seine-et-Marne,Chartronges,48.74583629999999,3.2692306
77320,Seine-et-Marne,Chevru,48.736101899999994,3.1945106
77320,Seine-et-Marne,Dagny,48.716392799999994,3.1706925999999998
77320,Seine-et-Marne,La Ferté-Gaucher,48.76123838903771,3.30244955317062
77320,Seine-et-Marne,Frétoy,48.70881179999999,3.2033517000000002
77320,Seine-et-Marne,Jouy-sur-Morin,48.7943914,3.2718856
77320,Seine-et-Marne,Lescherolles,48.7619016,3.3453927000000006
77320,Seine-et-Marne,Meilleray,48.7893752,3.4223133999999997
77320,Seine-et-Marne,Montdauphin,48.851879,3.4279028
77320,Seine-et-Marne,Montenils,48.8419508,3.4764833
77320,Seine-et-Marne,Montolivet,48.8294223,3.4393399
77320,Seine-et-Marne,Saint-Martin-du-Boschet,48.7317396,3.4305638999999997
77330,Seine-et-Marne,Ozoir-la-Ferrière,48.765490096878096,2.67870181364897
77340,Seine-et-Marne,Pontault-Combault,48.7972520498026,2.6054336601785097
77350,Seine-et-Marne,Boissettes,48.520592,2.6103240000000003
77350,Seine-et-Marne,Le Mée-sur-Seine,48.53612355,2.62681619813263
77360,Seine-et-Marne,Vaires-sur-Marne,48.873748376033106,2.6398207209916897
77370,Seine-et-Marne,Châteaubleau,48.587459100000004,3.106675
77370,Seine-et-Marne,Fontains,48.528369700000006,3.0027447
77370,Seine-et-Marne,Fontenailles,48.555306,2.9538889999999998
77370,Seine-et-Marne,Gastins,48.6282485,3.0205481
77370,Seine-et-Marne,Nangis,48.5757313107514,3.0478333107571602
77370,Seine-et-Marne,Rampillon,48.5502159,3.0669657000000003
77370,Seine-et-Marne,Vanvillé,48.5557771,3.1065782000000004
77380,Seine-et-Marne,Combs-la-Ville,48.6604358914958,2.55954031134145
77390,Seine-et-Marne,Andrezel,48.6112435,2.8135847000000003
77390,Seine-et-Marne,Argentières,48.652714,2.8685582000000003
77390,Seine-et-Marne,Beauvoir,48.6449274,2.8621065
77390,Seine-et-Marne,Champdeuil,48.620521000000004,2.7305771
77390,Seine-et-Marne,Courquetaine,48.677387100000004,2.7439351000000003
77390,Seine-et-Marne,Courtomer,48.6553802,2.9041874
77390,Seine-et-Marne,Crisenoy,48.5961401,2.7431226000000004
77390,Seine-et-Marne,Fouju,48.586398700000004,2.7785363999999997
77390,Seine-et-Marne,Guignes,48.6354878,2.7954418
77390,Seine-et-Marne,Verneuil-l'Étang,48.6416539193202,2.8066216047567005
77390,Seine-et-Marne,Yèbles,48.6380245,2.771045
77400,Seine-et-Marne,Carnetin,48.9006464,2.7046897999999997
77400,Seine-et-Marne,Dampmart,48.8852184,2.7355278999999997
77400,Seine-et-Marne,Gouvernes,48.8598385,2.6927897
77400,Seine-et-Marne,Lagny-sur-Marne,48.876721999999994,2.7083867868217
77400,Seine-et-Marne,Pomponne,48.881612100000005,2.6913606
77400,Seine-et-Marne,Saint-Thibault-des-Vignes,48.861736,2.67458276769714
77400,Seine-et-Marne,Thorigny-sur-Marne,48.8841856,2.7115737
77410,Seine-et-Marne,Annet-sur-Marne,48.9263555,2.7189327000000003
77410,Seine-et-Marne,Charmentray,48.945716499999996,2.7772501
77410,Seine-et-Marne,Charny,48.9960067,2.7471736952151002
77410,Seine-et-Marne,Claye-Souilly,48.94723263386479,2.7040844993192596
77410,Seine-et-Marne,Fresnes-sur-Marne,48.9379907,2.7398914
77410,Seine-et-Marne,Gressy,48.9640864,2.6723722000000003
77410,Seine-et-Marne,Messy,48.966674600000005,2.6999883
77410,Seine-et-Marne,Précy-sur-Marne,48.9308622,2.7746364
77410,Seine-et-Marne,Saint-Mesmes,48.9960067,2.7471736952151002
77410,Seine-et-Marne,Villeroy,48.9842338,2.7798097
77410,Seine-et-Marne,Villevaudé,48.916053399999996,2.6546216
77420,Seine-et-Marne,Champs-sur-Marne,48.84560689999999,2.5849933
77430,Seine-et-Marne,Champagne-sur-Seine,48.3989701431631,2.8023586754322403
77440,Seine-et-Marne,Cocherel,49.0212771,3.1035421000000003
77440,Seine-et-Marne,Congis-sur-Thérouanne,49.0076565,2.9748867238805894
77440,Seine-et-Marne,Dhuisy,49.03934,3.1602452999999997
