Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Évry,48.6241902,2.4458803,AbsINThe,48.62423178893469,2.443805922076978,Bar
Évry,48.6241902,2.4458803,Restaurant Telecom,48.623884698183595,2.446406214627765,Cafeteria
Évry,48.6241902,2.4458803,RER Bras de Fer — Évry Génopole [D],48.62326815335014,2.45069682598114,Train Station
Évry,48.6241902,2.4458803,Hotel Balladins,48.62182395,2.44887741,Hotel
Évry,48.6241902,2.4458803,Cafe Bar Restaurant Agri,48.622894287109375,2.4501943588256836,Restaurant
Évry,48.6241902,2.4458803,Pizza di Napoli,48.621581794370755,2.441649743404927,Pizza Place
Courcouronnes,48.623462792894,2.4145251172704705,AuBon'Art,48.62492903257476,2.413096993743197,French Restaurant
Courcouronnes,48.623462792894,2.4145251172704705,Allo Pizza Rapido,48.62329416047845,2.419032457921735,Pizza Place
Courcouronnes,48.623462792894,2.4145251172704705,Jardins Loisirs Michelet,48.62480821,2.41037816,Rental Service
Courcouronnes,48.623462792894,2.4145251172704705,Cafétéria CPAM,48.623923,2.419338,Cafeteria
Courcouronnes,48.623462792894,2.4145251172704705,MICHELET - COURCOURONNES - HUSQVARNA,48.625395,2.40971,Farm
Lisses,48.60004824750111,2.43113703287565,Intermarché Super et Drive,48.599792,2.434646,Supermarket
Lisses,48.60004824750111,2.43113703287565,Kvik villabé,48.60258057043706,2.433171272277832,Furniture / Home Store
Lisses,48.60004824750111,2.43113703287565,CGED,48.60059,2.43657,Electronics Store
Lisses,48.60004824750111,2.43113703287565,Le Licéas,48.597389507570945,2.435179607037828,Restaurant
Corbeil-Essonnes,48.610746,2.4762539,RER Corbeil-Essonnes [D],48.613784243870356,2.47366202778334,Train Station
Corbeil-Essonnes,48.610746,2.4762539,Théâtre de Corbeil-Essonnes,48.61176360789215,2.4767887823574224,Theater
Corbeil-Essonnes,48.610746,2.4762539,Place Salvandy,48.61100132963436,2.4795225262641902,Plaza
Corbeil-Essonnes,48.610746,2.4762539,"Arret Sous Préfecture (301,303,405)",48.61371880800291,2.4757825539018534,Bus Stop
Corbeil-Essonnes,48.610746,2.4762539,Hôtel Le Terminus,48.613921745528096,2.4739865918878907,Hotel
Corbeil-Essonnes,48.610746,2.4762539,Paradis Artificiels,48.6128757,2.4813233,Hookah Bar
Corbeil-Essonnes,48.610746,2.4762539,Creperie Du Moulin,48.61331535265753,2.4812552102679803,Eastern European Restaurant
Palaiseau,48.717532299999995,2.2459963,RER Palaiseau [B],48.71720417214972,2.2458672523498535,Train Station
Palaiseau,48.717532299999995,2.2459963,Rue de Paris,48.716425357666026,2.2473604183477214,Market
Palaiseau,48.717532299999995,2.2459963,Sporting Club,48.71648896265847,2.249281769001154,Gym
Palaiseau,48.717532299999995,2.2459963,La Calzone,48.7177669200192,2.250223159790039,Pizza Place
Palaiseau,48.717532299999995,2.2459963,Osaka Palaiseau,48.72088340535672,2.24807841082708,Japanese Restaurant
Palaiseau,48.717532299999995,2.2459963,Les Delices Du Plateau,48.72012029,2.24171036,Bakery
Palaiseau,48.717532299999995,2.2459963,Cap Conseil Choisir son Avenir Professionnel,48.7208018,2.2428147000000536,Business Service
Palaiseau,48.717532299999995,2.2459963,Tulip Inn Massy Palaiseau Residences,48.72146621976744,2.2481467896842013,Hotel
Villebon-sur-Yvette,48.692460909237795,2.21954815036105,Batiment Crystal,48.689753,2.2177,Diner
Villebon-sur-Yvette,48.692460909237795,2.21954815036105,Institut Bouddhique Trúc Lâm Thiền Viện,48.695355570715634,2.2162885184968313,Historic Site
Boutervilliers,48.45308789999999,2.0560332,RAM MOTOR,48.45332617852134,2.057117773219943,Auto Garage
Boutervilliers,48.45308789999999,2.0560332,GARAGE DE LA SABLIERE,48.45226109380466,2.056653499603271,Auto Workshop
Boutervilliers,48.45308789999999,2.0560332,LETAILLEUR,48.45164912834802,2.0577800273895264,Construction & Landscaping
Boutervilliers,48.45308789999999,2.0560332,le bouche à oreille,48.45499924214785,2.0602959540058805,Restaurant
