Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Boisemont,49.0223999,2.0026375,Du bon côté de la crêpe,49.02517926762134,1.9994577611110933,Creperie
Cergy,49.0278361,2.06542745000083,The Irish Pub,49.03177224055618,2.063860515155108,Bar
Cergy,49.0278361,2.06542745000083,Ibis Cergy Le Port,49.03114597287466,2.069505401440683,Hotel
Cergy,49.0278361,2.06542745000083,Port Cergy,49.030978,2.060638,Port
Neuville-sur-Oise,49.0135534,2.0623676,Café Le Village,49.01469048166456,2.058737977018713,Bar
Neuville-sur-Oise,49.0135534,2.0623676,Le chameau,49.01465809999999,2.0580503999999564,Café
Neuville-sur-Oise,49.0135534,2.0623676,Restaurant Universitaire de Neuville,49.01718646683613,2.061869879431662,Restaurant
Pontoise,49.0278361,2.06542745000083,The Irish Pub,49.03177224055618,2.063860515155108,Bar
Pontoise,49.0278361,2.06542745000083,Ibis Cergy Le Port,49.03114597287466,2.069505401440683,Hotel
Pontoise,49.0278361,2.06542745000083,Port Cergy,49.030978,2.060638,Port
Argenteuil,48.948703409719705,2.23932078222402,Cafeteria Hopital d'Argenteuil,48.946373,2.237505,Coffee Shop
Argenteuil,48.948703409719705,2.23932078222402,La Renaissance,48.951255798339844,2.241446018218994,Bar
Argenteuil,48.948703409719705,2.23932078222402,Privat Parfumeur,48.950977,2.2439425,Health & Beauty Service
Argenteuil,48.948703409719705,2.23932078222402,Patinoire d'Argenteuil,48.949816410421164,2.2327029705047607,Hockey Rink
Sannois,48.979311200000005,2.24424438059006,Campanile Sannois - Ermont,48.98272549153255,2.242537400785881,Hotel
Sannois,48.979311200000005,2.24424438059006,Tennis Club de Montigny,48.97944565593623,2.2459608925213073,Tennis Court
Sannois,48.979311200000005,2.24424438059006,Piscine Sannois,48.97634796420688,2.244790566425789,Water Park
Sannois,48.979311200000005,2.24424438059006,OSS,48.97624659773054,2.2427395525098337,Gym
Sannois,48.979311200000005,2.24424438059006,Ed,48.97960167349353,2.237658329530073,Convenience Store
Ermont,48.9883805276881,2.25798845636622,Gare SNCF d'Ermont-Halte,48.98998453541324,2.263406896740025,Train Station
