Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
Collégien,48.835046088376295,2.6684892135586296,Jablines,48.83371532350509,2.670814677001156,Lake
Collégien,48.835046088376295,2.6684892135586296,McDonald's,48.8364965882526,2.6624250411987305,Fast Food Restaurant
Collégien,48.835046088376295,2.6684892135586296,Leroy Merlin Collegien,48.83497827228638,2.662510871887207,Furniture / Home Store
Collégien,48.835046088376295,2.6684892135586296,Okaidi-Obaibi,48.837160395659076,2.6711905002593994,Kids Store
Meaux,48.951831521194,2.8904999251797796,Parc du Patis,48.948748228024876,2.885681756522533,Scenic Lookout
Meaux,48.951831521194,2.8904999251797796,Salle des Fêtes,48.95202153129373,2.8871462432773782,Event Space
Meaux,48.951831521194,2.8904999251797796,Iron Gym,48.94862430801554,2.8942659809919835,Athletics & Sports
Nanteuil-lès-Meaux,48.9342464,2.8889051,Market,48.936007,2.883238,Supermarket
Soignolles-en-Brie,48.65404060314611,2.7080968886168097,Collin-Couverture,48.65645889,2.70487146,Construction & Landscaping
Coulommiers,48.8068016126431,3.08126677475375,Gare SNCF de Coulommiers,48.80816144233113,3.0819818380942423,Train Station
Coulommiers,48.8068016126431,3.08126677475375,Okasushi,48.80709485834603,3.0840791144655446,Japanese Restaurant
Coulommiers,48.8068016126431,3.08126677475375,TRYBA Coulommiers - Ecotherme,48.806589,3.083881,Hardware Store
Coulommiers,48.8068016126431,3.08126677475375,Hotel De L'ours,48.810481,3.083462,Hotel
Mouroux,48.818987899999996,3.0471262,Hôtel Première Classe Coulommiers,48.817658,3.052314,Inn
Mouroux,48.818987899999996,3.0471262,C.O optique,48.821131,3.046941,Optical Shop
Mouroux,48.818987899999996,3.0471262,Lancezeux Steven,48.82116284,3.04758555,Conference
Mouroux,48.818987899999996,3.0471262,Leader Price,48.818181,3.052117,Supermarket
Mouroux,48.818987899999996,3.0471262,Carrefour Market,48.81711,3.05186,Supermarket
Crégy-lès-Meaux,48.9779,2.87437,Le Laureat,48.98164843597095,2.8766485847976986,Restaurant
Chauconin-Neufmontiers,48.9568936,2.8604242,Les Saisons De Meaux,48.95619501211294,2.861903982963896,Shopping Mall
Chauconin-Neufmontiers,48.9568936,2.8604242,Decathlon Meaux,48.9597676656202,2.861841917037964,Sporting Goods Shop
Chauconin-Neufmontiers,48.9568936,2.8604242,Auchan,48.958347,2.86007,Supermarket
Chauconin-Neufmontiers,48.9568936,2.8604242,Aushopping Saisons de Meaux,48.957721,2.86108,Shopping Mall
Villenoy,48.9537041,2.8677555,B&B La Petardière,48.955757,2.868277,Bed & Breakfast
Villenoy,48.9537041,2.8677555,Eight Ball Society,48.950266526818524,2.8721213146222064,Art Gallery
Lieusaint,48.6292544311151,2.55517399638391,Le Caf&Zzeria,48.63023,2.5543747,Snack Place
Lieusaint,48.6292544311151,2.55517399638391,O'T3,48.629864,2.554423,Indian Restaurant
Lieusaint,48.6292544311151,2.55517399638391,La Table du Boulanger (Onessa et Guy SOYER),48.63017603892531,2.5551235145647504,Bakery
Dormelles,48.3159943,2.8982343999999998,auberge du bocage,48.31607587405072,2.901072040163958,Comfort Food Restaurant
Forges,48.4200386,2.9402258,Péage de Forges,48.42141505097388,2.9432272569974782,Toll Plaza
La Grande-Paroisse,48.3798247658416,2.90159926115722,Gare SNCF de La Grande-Paroisse,48.37874050525541,2.896817922592163,Train Station
Marolles-sur-Seine,48.387437799999994,3.0329487,Le Caraïbe,48.386844,3.03396,Pizza Place
Misy-sur-Yonne,48.35967,3.0891,DM Paysages,48.36255092305984,3.085935115814209,Garden Center
Montereau-Fault-Yonne,48.3966219,2.9578946,Le Coin Des Amis,48.39512118996798,2.9577325605596263,Fast Food Restaurant
Montereau-Fault-Yonne,48.3966219,2.9578946,Pharmacie,48.39721,2.9535224,Pharmacy
Montereau-Fault-Yonne,48.3966219,2.9578946,Le Bistrot Du Quai,48.39986796445472,2.9541288629285787,Restaurant
La Tombe,48.38756,3.08915,PLURIELLES-SERVICES,48.3868603,3.0909960000000183,Miscellaneous Shop
Varennes-sur-Seine,48.3766097,2.9301414,Celio,48.376287,2.929185,Men's Store
Varennes-sur-Seine,48.3766097,2.9301414,Cantine,48.373456935780666,2.9256048631540397,Cafeteria
Pontcarré,48.7995541691383,2.70473731547184,Malocco,48.800831,2.703992,French Restaurant
Luzancy,48.9747257743895,3.1854227008703195,VENANT Nicolas,48.97142398,3.18992309,Furniture / Home Store
Nemours,48.27081480018251,2.70871102366502,AlibabaCop,48.270212,2.705641,Café
Nemours,48.27081480018251,2.70871102366502,Carglass,48.266777,2.708421,Other Repair Shop
Nemours,48.27081480018251,2.70871102366502,Blumen,48.266544395232074,2.709422166565645,Arts & Crafts Store
Nemours,48.27081480018251,2.70871102366502,ECMO,48.2749176,2.7068028,Business Service
Vaudoy-en-Brie,48.69309276360471,3.0815467574561297,Total,48.69280216,3.0819749,Gas Station
Chalifert,48.8896421,2.7725465,pizzeria di romana,48.8877744970024,2.7727603912353516,Pizza Place
Chalifert,48.8896421,2.7725465,Paris Campagne,48.891939233503635,2.77519641518078,Hotel
Montévrain,48.8643442595654,2.75804714155166,Residence Du Parc Montevrain,48.866454058423486,2.7610887385940814,Hotel
Montévrain,48.8643442595654,2.75804714155166,CrossWarriors,48.865567870704155,2.7619244559222746,Gym / Fitness Center
Montévrain,48.8643442595654,2.75804714155166,Palazzo Pizza,48.86660368037405,2.760750845650927,Pizza Place
Montévrain,48.8643442595654,2.75804714155166,Leblond,48.8669294332217,2.7603665230041265,Bakery
Lésigny,48.74275972099711,2.6164594230934797,le petit ragueneau,48.743897,2.615595,Bistro
Lésigny,48.74275972099711,2.6164594230934797,Chateau de Lesigny,48.745295193645354,2.613875920109737,Scenic Lookout
Lésigny,48.74275972099711,2.6164594230934797,Market,48.747,2.61549,Supermarket
Montceaux-lès-Provins,48.695493010038206,3.44033108368043,Theatre a la ferme,48.69633581109877,3.441587370342386,Theater
Coutençon,48.4710717,2.9977386000000004,Andrieux,48.470538382065406,2.997304201126098,Other Repair Shop
Coutençon,48.4710717,2.9977386000000004,JB POSE,48.47100429929217,2.995346188545227,Home Service
Poigny,48.540826700000004,3.2658614,Poney Club de Poigny,48.54195408991094,3.2653892371257696,Other Great Outdoors
